CACP4901TC	0	4095
VCD00147	0	1
VCD00149	0	220
VCD00150	0	111
VCD00153	0	231
VCD00154	0	230
VCD00155	0	233
VCD00156	0	235
VCD00157	0	255
VCD00158	0	32
VCD00159	0	45
VCD00160	0	15
VCD00161	0	58
VCD00162	0	65535
VCD00163	0	7
VCD00164	0	78
VCD00165	0	9
VCD00170	1	13
VCD00171	1	2
VCD00173	1	2147483647
VCD00174	1	23
VCD00175	1	235
VCD00176	1	255
VCD00177	1	30
VCD00178	1	32
VCD00179	1	4
VCD00180	1	40
VCD00181	1	4294967295
VCD00182	1	44
VCD00183	1	56
VCD00185	1	57
VCD00186	1	58
VCD00187	1	65535
VCD00188	1	7
VCD00189	0	61
VCD00190	0.1	16
VCD00194	0	8
VCD00195	1	104
VCD00213	0	68
VCD00236	0	2047
VCD00237	0	2097151
VCD00238	0	227
VCD00240	0	4095
VCD00241	0	511
VCD00243	1	117
VCD00244	1	18
VCD00245	1	232
VCD00246	1	233
VCD00247	1	47
VCD00248	2	65535
VCD00250	0	232
VCD00251	-1	32767
VCD00254	0	116
VCD00255	0	250
VCD00257	0	4
VCD00265	0	254
VCD00266	0	28
VCD00267	0	72
VCD00268	1	116
VCD00269	1	254
VCD00270	1	78
VCD00314	0	1023
VCD00315	0	31
VCD00335	0	365
VCD00336	1	15
VCD00337	1	21
VCD00338	1	26
VCD00339	1	6
VCD00340	1	8
VCD00348	-179.5	179.5
VCD00349	-180	0
VCD00350	25.5	200
VCD00351	193	255
VCD00352	1	16
VCD00353	1	192
VCD00363	0	226
VCD00379	0	127
VCD00383	0	16383
VCD2Z001	0	6
VCDX0001	0	16383
VCDX0002	100	240
VCDX0003	100	149
VCDX0004	150	240
VCDX0005	200	255
VCDX0006	100	199
VCDX0007	0	0
VCDX0008	0	255
VCDX0009	A_PM_RAM	
VCDX0009	B_PM_RAM	
VCS2Z000	0	7
VCTX0001	001 IMU-120	
VCTX0001	002 GEU-120	
VCTX0001	003 IMU-200	
VCTX0001	004 -Z FSS	
VCTX0001	005 +X FSS	
VCTX0001	006 WDE 1-3	
VCTX0001	007 WDE-4	
VCTX0001	008 STR	
VCTX0001	009 WEM MY-MZ	
VCTX0001	010 WEM MY-PZ	
VCTX0001	011 WEM PY-MZ	
VCTX0001	012 WEM PY-PZ	
VCTX0001	013 RFDA	
VCTX0001	014 EPC1 X	
VCTX0001	015 EPC2 X	
VCTX0001	016 OBC	
VCTX0001	017 SADM-PY	
VCTX0001	018 SADM-MY	
VCTX0001	019 MMH_Inlet	
VCTX0001	020 MON_Inlet	
VCTX0001	021 MMH_Outlet	
VCTX0001	022 MON_Outlet	
VCTX0001	023 Thruster 3A	
VCTX0001	024 Thruster 3B	
VCTX0001	025 Thruster 4A	
VCTX0001	026 Thruster 4B	
VCTX0001	027 Thruster 1A	
VCTX0001	028 Thruster 1B	
VCTX0001	029 Thruster 2A	
VCTX0001	030 Thruster 2B	
VCTX0001	031 Thruster 7A	
VCTX0001	032 Thruster 7B	
VCTX0001	033 Thruster 8A	
VCTX0001	034 Thruster 8B	
VCTX0001	035 Thruster 5A	
VCTX0001	036 Thruster 5B	
VCTX0001	037 Thruster 6A	
VCTX0001	038 Thruster 6B	
VCTX0001	039 Thruster_9A	
VCTX0001	040 Thruster_9B	
VCTX0001	041 Press_Tank	
VCTX0001	042 MON _Gauging	
VCTX0001	043 MMH_Gauging	
VCTX0001	044 METIS Ebox	
VCTX0001	045 PHI Ebox	
VCTX0001	046 SPICE Ebox	
VCTX0001	047 EUI Ebox	
VCTX0001	048 MY_RS_Zone	
VCTX0001	049 STIX Ebox	
VCTX0001	050 SWA Ebox	
VCTX0001	051 RPW Ebox	
VCTX0001	052 MAG Ebox	
VCTX0001	053 EPD Ebox	
VCTX0001	054 SWA PAS	
VCTX0001	055 Spare	
VCTX0001	056 PHI_HE	
VCTX0001	057 PHI_CE	
VCTX0001	058 STIX_CE	
VCTX0001	059 EUI_CE	
VCTX0001	060 EUI_ME	
VCTX0001	061 EUI_HE	
VCTX0001	062 METIS_HE	
