NAHD0004	1	1	C	A
NAHD0005	1	1	C	A
NAHD0006	1	1	C	A
NAHD0007	1	1	C	A
NAHD0008	1	1	C	A
NAHD0009	1	1	C	A
NAHD0010	1	1	C	A
NAHD0011	1	1	C	A
NAHD0012	1	1	C	A
NAHD0013	1	1	C	A
NAHD0014	1	1	C	A
NAHD0015	1	1	C	A
NAHD0016	1	1	C	A
NAHD0017	1	1	C	A
NAHD0018	1	1	C	A
NAHD0019	1	1	C	A
NAHD0020	1	1	C	A
NAHD0021	1	1	C	A
NAHD0022	1	1	C	A
NAHD0023	1	1	C	A
NAHD0024	1	1	C	A
NAHD0025	1	1	C	A
NAHD0026	1	1	C	A
NAHD0027	1	1	C	A
NAHD0028	1	1	C	A
NAHD0029	1	1	C	A
NAHT0004	1	1	C	A
NAHT0005	1	1	C	A
NAHT0006	1	1	C	A
NAHT0007	1	1	C	A
NAHT0008	1	1	C	A
NAHT0009	1	1	C	A
NAHT0010	1	1	C	A
NAHT0011	1	1	C	A
NAHT0012	1	1	C	A
NAHT0013	1	1	C	A
NAHT0014	1	1	C	A
NAHT0015	1	1	C	A
NAHT0016	1	1	C	A
NAHT0017	1	1	C	A
NAHT0018	1	1	C	A
NAHT0019	1	1	C	A
NAHT0020	1	1	C	A
NAHT0021	1	1	C	A
NAHT0022	1	1	C	A
NAHT0023	1	1	C	A
NAHT0024	1	1	C	A
NAHT0025	1	1	C	A
NAHT0026	1	1	C	A
NAHT0027	1	1	C	A
NAHT0028	1	1	C	A
NAHT0029	1	1	C	A
NAMD0004	1	1	C	A
NAMD0005	1	1	C	A
NAMD0006	1	1	C	A
NAMD0007	1	1	C	A
NAMD0008	1	1	C	A
NAMD0014	1	1	C	A
NAMD0015	1	1	C	A
NAMD0017	1	1	C	A
NAMD0019	1	1	C	A
NAMD0020	1	1	C	A
NAMD0021	1	1	C	A
NAMD0022	1	1	C	A
NAMD0023	1	1	C	A
NAMD0024	1	1	C	A
NAMD0025	1	1	C	A
NAMD0026	1	1	C	A
NAMD0028	1	1	C	A
NAMD0029	1	1	C	A
NAMSX004	1	2	U	R
NAMT0004	1	1	C	A
NAMT0005	1	1	C	A
NAMT0006	1	1	C	A
NAMT0007	1	1	C	A
NAMT0008	1	1	C	A
NAMT0014	1	1	C	A
NAMT0015	1	1	C	A
NAMT0017	1	1	C	A
NAMT0019	1	1	C	A
NAMT0020	1	1	C	A
NAMT0021	1	1	C	A
NAMT0022	1	1	C	A
NAMT0023	1	1	C	A
NAMT0024	1	1	C	A
NAMT0025	1	1	C	A
NAMT0026	1	1	C	A
NAMT0028	1	1	C	A
NAMT0029	1	1	C	A
NCAD3H51	1	1	C	A
NCAT0FT0	1	1	C	A
NCAT0Z80	1	1	C	A
NCAT0Z90	1	1	C	A
NCAT0ZA0	1	1	C	A
NCAT0ZD0	1	1	C	A
NCAT0ZG0	1	1	C	A
NCAT0ZH0	1	1	C	A
NCAT10E0	1	1	C	A
NCAT10F0	1	1	C	A
NCAT10G0	1	1	C	A
NCAT11E0	1	1	C	A
NCAT11M0	1	1	C	A
NCAT11X0	1	2	U	R
NCAT11Y0	1	2	U	R
NCAT11Z0	1	2	U	R
NCAT1200	1	2	U	R
NCAT1210	1	2	U	R
NCAT1220	1	2	U	R
NCAT1230	1	2	U	R
NCAT1240	1	2	U	R
NCAT1250	1	2	U	R
NCAT1260	1	2	U	R
NCAT1270	1	2	U	R
NCAT1280	1	2	U	R
NCAT1290	1	2	U	R
NCAT12A0	1	2	U	R
NCAT12B0	1	2	U	R
NCAT12C0	1	2	U	R
NCAT12D0	1	2	U	R
NCAT12E0	1	2	U	R
NCAT15F0	1	1	C	A
NCAT15P0	1	1	C	A
NCAT1620	1	1	C	A
NCAT16F0	1	1	C	A
NCAT16N0	1	1	C	A
NCAT1720	1	1	C	A
NCAT17R0	1	1	C	A
NCAT24R0	1	1	C	A
NCAT24S0	1	1	C	A
NCAT2880	1	1	C	A
NCAT2890	1	1	C	A
NCAT28A0	1	1	C	A
NCAT2WW0	1	1	C	A
NCAT2WX0	1	1	C	A
NCAT2X00	1	1	C	A
NCAT3VX0	1	1	C	A
NCAT3W30	1	1	C	A
NCAT42Y0	1	1	C	A
NCAT43R0	1	1	C	A
NCAT4RP0	1	1	C	A
NCAT5K20	1	1	C	A
NCAT5K50	1	1	C	A
NCAT5K70	1	1	C	A
NCAT5K90	1	1	C	A
NCAT5KC0	1	1	C	A
NCAT5KG0	1	1	C	A
NCAT5L50	1	1	C	A
NCAT5LR0	1	1	C	A
NCAT5LU0	1	1	C	A
NCAT5LW0	1	1	C	A
NCAT5LY0	1	1	C	A
NCAT5M10	1	1	C	A
NCAT5M50	1	1	C	A
NCAT5MU0	1	1	C	A
NCAT69K0	1	1	C	A
NCAT6J60	1	1	C	A
NCAT6K60	1	2	U	R
NCAT6K70	1	1	C	A
NCAT6Z30	1	1	U	I
NCDD0931	1	1	C	A
NCDD0AA4	1	1	C	A
NCDD0AC4	1	1	C	A
NCDD0AD4	1	1	C	A
NCDD0AE4	1	1	C	A
NCDD0AF4	1	1	C	A
NCDD0AG4	1	1	C	A
NCDD0AM2	1	1	C	A
NCDD0AM3	1	1	C	A
NCDD0AM4	1	1	C	A
NCDD0AM5	1	1	C	A
NCDD0AM6	1	1	C	A
NCDD0AM7	1	1	C	A
NCDN8301	1	1	C	A
NCDN8302	1	1	C	A
NCDN8303	1	1	C	A
NCDN8304	1	1	C	A
NCDN8305	1	1	C	A
NCDN8306	1	1	C	A
NCDN8307	1	1	C	A
