NCAB0EP0	1	NPWZ0000	10	CPWP3005TM
NCAB0EP0	2	NPWZ0000	11	CPWP8005TM
NCAB0EW0	1	NPWZ0000	10	CPWP3255TM
NCAB0EW0	2	NPWZ0000	11	CPWP8255TM
NCAB0HB0	1	NPWZ0000	10	CPWP2516TM
NCAB0HB0	2	NPWZ0000	11	CPWP7516TM
NCAB0HG0	1	NPWZ0000	10	CPWP3015TM
NCAB0HG0	2	NPWZ0000	11	CPWP8015TM
NCAB0TR0	1	NPWZ0000	10	CPWP2502TM
NCAB0TR0	2	NPWZ0000	11	CPWP7502TM
NCAB0TT0	1	NPWZ0000	10	CPWP2752TM
NCAB0TT0	2	NPWZ0000	11	CPWP7752TM
NCAB0TV0	1	NPWZ0000	10	CPWP3002TM
NCAB0TV0	2	NPWZ0000	11	CPWP8002TM
NCAB0TX0	1	NPWZ0000	10	CPWP3502TM
NCAB0TX0	2	NPWZ0000	11	CPWP8502TM
NCF7Z021	1	NDSS0795	1	CDSP0013TM
NCF7Z021	2	NDSS0796	1	CDSP0014TM
NCF7Z021	3	NDSS0797	1	CDSP0015TM
NCF7Z021	4	NDSS0798	1	CDSP0016TM
NCF7Z021	5	NDSS0799	1	CDSP0017TM
NCF7Z021	6	NDSS0800	1	CDSP0018TM
NCF7Z021	7	NDSS0801	1	CDSP0019TM
NCF7Z021	8	NDSS0802	1	CDSP0020TM
NCF7Z022	1	NDSS1795	1	CDSP0013TM
NCF7Z022	2	NDSS1796	1	CDSP0014TM
NCF7Z022	3	NDSS1797	1	CDSP0015TM
NCF7Z022	4	NDSS1798	1	CDSP0016TM
NCF7Z022	5	NDSS1799	1	CDSP0017TM
NCF7Z022	6	NDSS1800	1	CDSP0018TM
NCF7Z022	7	NDSS1801	1	CDSP0019TM
NCF7Z022	8	NDSS1802	1	CDSP0020TM
NCFT29F0	1	NDSS0795	1	CDSP0013TM
NCFT29F0	2	NDSS0796	1	CDSP0014TM
NCFT29F0	3	NDSS0797	1	CDSP0015TM
NCFT29F0	4	NDSS0798	1	CDSP0016TM
NCFT29F0	5	NDSS0799	1	CDSP0017TM
NCFT29F0	6	NDSS0800	1	CDSP0018TM
NCFT29F0	7	NDSS0801	1	CDSP0019TM
NCFT29F0	8	NDSS0802	1	CDSP0020TM
NCFT29G0	1	NDSS1795	1	CDSP0013TM
NCFT29G0	2	NDSS1796	1	CDSP0014TM
NCFT29G0	3	NDSS1797	1	CDSP0015TM
NCFT29G0	4	NDSS1798	1	CDSP0016TM
NCFT29G0	5	NDSS1799	1	CDSP0017TM
NCFT29G0	6	NDSS1800	1	CDSP0018TM
NCFT29G0	7	NDSS1801	1	CDSP0019TM
NCFT29G0	8	NDSS1802	1	CDSP0020TM
NCFT29H0	1	NCFT29K0	0	CDST0010TC
NCFT29H0	2	NCFT29K0	1	CDST0007TC
NCFT2X70	1	NPWZ0000	10	CPWP4752TM
NCFT2X70	2	NPWZ0000	11	CPWP9752TM
NCFT2X80	1	NPWZ0000	10	CPWP4753TM
NCFT2X80	2	NPWZ0000	11	CPWP9753TM
NCFT2X90	1	NPWZ0000	10	CPWP4760TM
NCFT2X90	2	NPWZ0000	11	CPWP9760TM
NCFT2XA0	1	NPWZ0000	10	CPWP4761TM
NCFT2XA0	2	NPWZ0000	11	CPWP9761TM
NCFT2XB0	1	NPWZ0000	10	CPWP2767TM
NCFT2XB0	2	NPWZ0000	11	CPWP7767TM
NCFT2XC0	1	NPWZ0000	10	CPWP3004TM
NCFT2XC0	2	NPWZ0000	11	CPWP8004TM
NCFT2XD0	1	NPWZ0000	10	CPWP3268TM
NCFT2XD0	2	NPWZ0000	11	CPWP8268TM
NCFT2XE0	1	NPWZ0000	10	CPWP3504TM
NCFT2XE0	2	NPWZ0000	11	CPWP8504TM
NCFT2XF0	1	NPWZ0000	10	CPWP0036TM
NCFT2XF0	2	NPWZ0000	11	CPWP5036TM
NCFT2XG0	1	NPWZ0000	10	CPWP4752TM
NCFT2XG0	2	NPWZ0000	11	CPWP9752TM
NCFT2XH0	1	NPWZ0000	10	CPWP4753TM
NCFT2XH0	2	NPWZ0000	11	CPWP9753TM
NCFT2XJ0	1	NPWZ0000	10	CPWP4760TM
NCFT2XJ0	2	NPWZ0000	11	CPWP9760TM
NCFT2XK0	1	NPWZ0000	10	CPWP4761TM
NCFT2XK0	2	NPWZ0000	11	CPWP9761TM
NCFT2XL0	1	NPWZ0000	10	CPWP2767TM
NCFT2XL0	2	NPWZ0000	11	CPWP7767TM
NCFT2XM0	1	NPWZ0000	10	CPWP3004TM
NCFT2XM0	2	NPWZ0000	11	CPWP8004TM
NCFT2XN0	1	NPWZ0000	10	CPWP3268TM
