AYMODELE	0	0	ABSENT
AYMODELE	1	1	SIMULATED
AYMODELE	10	10	EM
AYMODELE	11	11	FM
AYMODELE	12	12	STIMULATED
AYMODELE	13	13	QM
AYMODELE	2	2	REAL
AYMODELE	3	3	VOL
AYMODELE	4	4	SOL
AYMODELE	5	5	TESTAID
AYMODELE	50	50	PRESENT
AYMODELE	6	6	GUIDE
AYMODELE	7	7	TA
AYMODELE	8	8	MQV1
AYMODELE	9	9	MV2
CAAT0001TM	0	0	Off
CAAT0001TM	1	1	On
CAAT0003TM	0	0	Redundant
CAAT0003TM	1	1	Nominal
CAAT0005TM	0	0	Disconnected
CAAT0005TM	1	1	Connected
CAAT0007TM	0	0	Switch_Open
CAAT0007TM	1	1	Switch_Closed
CAAT0009TM	0	0	Failed
CAAT0009TM	1	1	Healthy
CAAT0011TM	0	0	Not_Selected
CAAT0011TM	1	1	Selected
CAAT0013TM	0	0	Absence
CAAT0013TM	1	1	Presence
CAAT0015TM	0	0	Backward
CAAT0015TM	1	1	Forward
CAAT0017TM	0	0	Left
CAAT0017TM	1	1	Right
CAAT0019TM	0	0	Unused
CAAT0019TM	1	1	Used
CAAT0021TM	0	0	Still
CAAT0021TM	1	1	Moving
CAAT0023TM	0	0	Plus
CAAT0023TM	1	1	Minus
CAAT0025TM	0	0	Disarmed
CAAT0025TM	1	1	Armed
CAAT0027TM	0	0	Inactive
CAAT0027TM	1	1	Active
CAAT0029TM	0	0	Inhibited
CAAT0029TM	1	1	Enabled
CAAT0031TM	0	0	Disabled
CAAT0031TM	1	1	Enabled
CAAT0033TM	0	0	False
CAAT0033TM	1	1	True
CAAT0035TM	0	0	Busy
CAAT0035TM	1	1	Ready
CAAT0037TM	0	0	Open
CAAT0037TM	1	1	Closed
CAAT0039TM	0	0	Unlocked
CAAT0039TM	1	1	Locked
CAAT0041TM	0	0	End
CAAT0041TM	1	1	Start
CAAT0043TM	0	0	Empty
CAAT0043TM	1	1	Full
CAAT0045TM	0	0	Invalid
CAAT0045TM	1	1	Valid
CAAT0101TM	0	0	Receive
CAAT0101TM	1	1	Transmit
CAAT0103TM	0	0	No_Error
CAAT0103TM	1	1	Error
CAAT0105TM	0	0	No_ServRequest
CAAT0105TM	1	1	ServRequested
CAAT0107TM	0	0	NoBrdcastCmdRx
CAAT0107TM	1	1	BrdcastCmdRx
CAAT0108TM	0	0	Not_Busy
CAAT0108TM	1	1	Busy
CAAT0111TM	0	0	No_Fault
CAAT0111TM	1	1	Fault
CAAT1002TM	0	0	DontVerifyRead
CAAT1002TM	1	1	Verify
CAAT1003TM	0	0	No Ackn
CAAT1003TM	1	1	Ackn Read
CAAT1004TM	0	0	No increment
CAAT1004TM	1	1	increment
CAAT1006TM	0	0	Response
CAAT1006TM	1	1	Command
CAAT1007TM	0	0	Read
CAAT1007TM	1	1	Write
CAAT1008TM	0	0	false
CAAT1008TM	255	255	true
CAHT0000TM	1	1	Standby
CAHT0000TM	2	2	Ready
CAHT0000TM	3	3	Hold
CAHT0000TM	4	4	Steer
CAHT0000TM	5	5	Go_to_Safe
CAHT0001TM	0	0	No_transition
CAHT0001TM	1	1	Mode_changing
CAHT0002TM	0	0	Not_OK
CAHT0002TM	1	1	OK
CAHT0003TM	0	0	Alarm_OFF
CAHT0003TM	1	1	Alarm_ON
CAHT0004TM	0	0	Not_Set
CAHT0004TM	1	1	Set
CAHT0005TM	0	0	CW_Direction
CAHT0005TM	1	1	CCW_Direction
CAHT0006TM	0	0	MGA
CAHT0006TM	1	1	HGA
CAMT0000TM	1	1	Standby
CAMT0000TM	2	2	Ready
CAMT0000TM	3	3	Hold
CAMT0000TM	4	4	Steer
CAMT0000TM	5	5	Go_to_Safe
CAMT0001TM	0	0	No_transition
CAMT0001TM	1	1	Mode_changing
CAMT0002TM	0	0	Not_OK
CAMT0002TM	1	1	OK
CAMT0003TM	0	0	Alarm_OFF
CAMT0003TM	1	1	Alarm_ON
CAMT0004TM	0	0	Not_Set
CAMT0004TM	1	1	Set
CAMT0005TM	0	0	CW_Direction
CAMT0005TM	1	1	CCW_Direction
CAMT0006TM	0	0	MGA
CAMT0006TM	1	1	HGA
CBCT0014TM	0	0	PM_A
CBCT0014TM	1	1	PM_B
CBCT0017TM	0	0	IMG_1
CBCT0017TM	1	1	IMG_0
CBCT0022TM	0	0	PM_SLFTST_USED
CBCT0022TM	1	1	PM_SLFTST_BY
CBCT0023TM	0	0	NO_SAFE_MODE
CBCT0023TM	1	1	SAFE_MODE
CBCT0024TM	0	0	WR_PROT_EN
CBCT0024TM	1	1	WR_PROT_DIS
CBCTZ000TM	0	0	On
CBCTZ000TM	1	1	Off
CBCTZ001TM	0	0	SCS_NOT_SET
CBCTZ001TM	1	1	SCS_SET
CBCTZ002TM	0	0	Pos 2
CBCTZ002TM	1	1	Pos 1
CBCTZ010TM	0	0	TcA (DST-1)
CBCTZ010TM	2	2	TcB (DST-2)
CBCTZ010TM	4	4	TcAux (Test)
CBCTZ011TM	0	0	Asserted
CBCTZ011TM	1	1	Not_Asserted
CBCTZ012TM	0	0	No_Dis
CBCTZ012TM	1	1	Dis
CBCTZ013TM	0	0	No_Start_Seq
CBCTZ013TM	1	1	Start_Seq
CBCTZ014TM	0	0	Inactive
CBCTZ014TM	1	1	Active
CBCTZ014TM	2	2	Timed_out
CCD2Z002TM	0	0	PAP_NONE
CCD2Z002TM	1	1	PAP_0
CCD2Z002TM	128	128	PAP_7
CCD2Z002TM	16	16	PAP_4
CCD2Z002TM	2	2	PAP_1
CCD2Z002TM	256	256	PAP_8
CCD2Z002TM	32	32	PAP_5
