232	25	-1	0	-1	0	
232	124	-1	0	-1	0	
232	136	-1	0	-1	0	
232	157	-1	0	-1	0	
233	4	-1	0	-1	0	
233	12	-1	0	-1	0	
233	17	-1	0	-1	0	
233	22	-1	0	-1	0	
233	32	-1	0	-1	0	
233	42	-1	0	-1	0	
233	46	-1	0	-1	0	
233	48	-1	0	-1	0	
233	72	-1	0	-1	0	
233	82	-1	0	-1	0	
234	1	-1	0	-1	0	
234	24	-1	0	-1	0	
236	16	-1	0	-1	0	
236	19	-1	0	-1	0	
237	12	-1	0	-1	0	
237	20	-1	0	-1	0	
238	3	-1	0	-1	0	
238	7	-1	0	-1	0	
239	3	-1	0	-1	0	
239	6	-1	0	-1	0	
239	8	-1	0	-1	0	
239	10	-1	0	-1	0	
239	12	-1	0	-1	0	
239	14	-1	0	-1	0	
239	18	-1	0	-1	0	
239	21	-1	0	-1	0	
243	14	-1	0	-1	0	
243	16	-1	0	-1	0	
244	3	-1	0	-1	0	
247	1	16	16	-1	0	
247	2	16	16	-1	0	
247	4	16	16	-1	0	
247	5	16	16	-1	0	
247	6	16	16	-1	0	
247	7	16	16	-1	0	
248	1	16	16	-1	0	
255	6	-1	0	-1	0	
255	210	16	8	-1	0	
